typeID,groupID,typeName,mass,volume,capacity,portionSize,raceID,basePrice,published,marketGroupID,iconID,soundID,graphicID
0,0,#System,1,0.00E+00,0.00E+00,1,None,None,0,None,None,None,0
2,2,Corporation,0.00E+00,0.00E+00,0.00E+00,1,None,None,0,None,None,None,0
3,3,Region,0.00E+00,1,0.00E+00,1,None,None,0,None,None,None,0
4,4,Constellation,0.00E+00,1,0.00E+00,1,None,None,0,None,None,None,0
5,5,Solar System,0.00E+00,1,0.00E+00,1,None,None,0,None,None,None,0
6,6,Sun G5 (Yellow),1E+18,1,0.00E+00,1,None,None,0,None,None,20099,21457
7,6,Sun K7 (Orange),1E+18,1,0.00E+00,1,None,None,0,None,None,20095,21459
8,6,Sun K5 (Red Giant),1E+18,1,0.00E+00,1,None,None,0,None,None,20097,21462
9,6,Sun B0 (Blue),1E+18,1,0.00E+00,1,None,None,0,None,None,20094,21464
10,6,Sun F0 (White),1E+18,1,0.00E+00,1,None,None,0,None,None,20098,21466
11,7,Planet (Temperate),1E+35,1,0.00E+00,1,None,None,0,None,10136,20092,3832
12,7,Planet (Ice),1E+35,1,0.00E+00,1,None,None,0,None,10137,20087,3834
13,7,Planet (Gas),1E+35,1,0.00E+00,1,None,None,0,None,10139,20086,3833
14,8,Moon,1E+35,1,0.00E+00,1,None,None,0,None,10141,None,10
15,9,Asteroid Belt,1E+35,1,0.00E+00,1,None,None,0,None,15,9,0
16,10,Stargate (Caldari System),1E+11,10000000,0.00E+00,1,1,None,0,None,None,32,235
17,10,Stargate (Amarr Constellation),1E+11,100000000,0.00E+00,1,4,None,0,None,None,32,236
18,458,Plagioclase,1E+35,0.35,0.00E+00,100,None,12800,1,516,230,None,0
19,461,Spodumain,1E+35,16,0.00E+00,100,4,1149400,1,517,1274,None,0
20,457,Kernite,1E+35,1.2,0.00E+00,100,None,74916,1,523,1270,None,0
21,454,Hedbergite,1E+35,3,0.00E+00,100,4,337408,1,527,1269,None,0
22,450,Arkonor,1E+35,16,0.00E+00,100,4,3068504,1,512,1277,None,0
23,12,Cargo Container,10000,27500,27500,1,None,None,0,None,16,None,1176
24,13,Ring,1E+35,1,0.00E+00,1,None,None,0,None,0,None,0
25,14,Corpse Male,80,2,0.00E+00,1,None,None,1,None,398,None,20373
26,16,Office Folder,0.00E+00,1,0.00E+00,1,None,None,0,None,None,None,0
27,16,Office,0.00E+00,1,0.00E+00,1,None,None,0,None,None,None,0
28,16,Factory Folder,0.00E+00,1,0.00E+00,1,None,None,0,None,None,None,0
29,17,Credits,0.00E+00,0.00E+00,0.00E+00,57344,None,None,0,None,21,None,0
30,19,Faction,0.00E+00,0.00E+00,0.00E+00,1,None,None,0,None,None,None,0
34,18,Tritanium,0.00E+00,0.01,0.00E+00,1,None,2,1,1857,22,None,0
35,18,Pyerite,0.00E+00,0.01,0.00E+00,1,None,8,1,1857,400,None,0
36,18,Mexallon,0.00E+00,0.01,0.00E+00,1,None,32,1,1857,401,None,0
37,18,Isogen,0.00E+00,0.01,0.00E+00,1,None,128,1,1857,402,None,0
38,18,Nocxium,0.00E+00,0.01,0.00E+00,1,None,512,1,1857,1201,None,0
39,18,Zydrine,0.00E+00,0.01,0.00E+00,1,None,2048,1,1857,404,None,0
40,18,Megacyte,0.00E+00,0.01,0.00E+00,1,None,8192,1,1857,405,None,0
41,280,Garbage,2500,0.25,0.00E+00,1,None,20,1,20,1179,None,0
42,280,Spiced Wine,500,0.5,0.00E+00,1,None,1500,1,492,27,None,0
43,280,Antibiotics,5,0.2,0.00E+00,1,None,325,1,492,28,None,0
44,1034,Enriched Uranium,0.00E+00,1.5,0.00E+00,1,None,5000,1,1335,29,None,0
45,281,Frozen Plant Seeds,400,0.5,0.00E+00,1,None,75,1,492,1200,None,0
49,24,Player Kill,0.00E+00,0.00E+00,0.00E+00,1,None,None,0,None,None,None,0
